GRIDCODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,ClaseDescriptiva
1,74,4587884.56196,2850.0,2994.92822266,144.928222656,2908.10530049,48.2195735174,215199.792236,Altura muy baja
2,75,4649883.00198,2997.890625,3142.94116211,145.050537109,3075.71804687,38.9406172752,230678.853516,Altura baja
3,114,7067822.16301,3145.11230469,3289.92822266,144.815917969,3221.51199073,42.4596046514,367252.366943,Altura media
4,239,14817627.1663,3290.98779297,3436.18701172,145.19921875,3371.03235936,40.4987481533,805676.733887,Altura media-alta
5,310,19219516.4082,3437.34423828,3580.70947266,143.365234375,3507.28831905,41.2867080482,1087259.37891,Altura alta
6,217,13453661.4857,3585.23413086,3729.91333008,144.679199219,3658.12669436,43.0370347561,793813.492676,Zona crítica A
7,285,17669555.4075,3731.39990234,3876.44970703,145.049804688,3800.86496539,39.6936560324,1083246.51514,Zona crítica B
8,354,21947447.7694,3877.56469727,4023.76782227,146.203125,3961.48982609,40.4889755815,1402367.39844,Zona crítica C
9,369,22877424.3698,4024.70874023,4170.46630859,145.757568359,4091.42860243,41.7089138662,1509737.1543,Zona crítica D
10,355,22009446.2094,4171.05371094,4317.46777344,146.4140625,4253.18324164,43.1648942304,1509880.05078,Altura extrema
11,1236,76630071.8727,4317.91259766,4464.08251953,146.169921875,4408.09189959,40.3653189843,5448401.58789,
12,5291,328033746.18,4464.58447266,4611.31640625,146.731933594,4532.41217287,37.9546638888,23980992.8066,
13,3233,200440956.605,4611.37011719,4757.88183594,146.51171875,4684.60891692,41.3239667531,15145340.6284,
14,2230,138256521.259,4758.4296875,4904.90625,146.4765625,4828.81940469,41.3953735098,10768267.2725,
15,1187,73592148.3114,4904.95214844,5051.57275391,146.620605469,4974.45183663,42.3727263605,5904674.33008,
16,472,29263263.6925,5051.94970703,5198.41308594,146.463378906,5113.93091027,39.8337829246,2413775.38965,
17,141,8741780.04373,5198.90917969,5340.82910156,141.919921875,5254.11408813,41.5997990262,740830.086426,
18,43,2665932.92114,5346.2265625,5487.49609375,141.26953125,5405.19600518,40.6642685872,232423.428223,
19,20,1239968.80053,5495.32080078,5621.85400391,126.533203125,5560.63691406,41.0215557774,111212.738281,
20,6,371990.640159,5665.45849609,5785.60351562,120.145019531,5716.43823242,36.5651256159,34298.6293945,
